City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
esna,25.2934,32.554,15,63,20,5.07,EG,1612406425
puri,19.8,85.85,17,77,0,3.29,IN,1612406427
mbandaka,0.0487,18.2603,22.59,93,95,1.04,CD,1612406429
weligama,5.9667,80.4167,26.05,74,66,2.31,LK,1612406430
narsaq,60.9167,-46.05,-10,44,39,1.54,GL,1612406432
portobelo,9.55,-79.65,26.11,99,80,7.82,PA,1612406433
petropavlovka,50.6114,105.3196,-8.91,89,83,2.19,RU,1612406435
great bend,38.3645,-98.7648,10,66,1,8.75,US,1612406361
rio tercero,-32.173,-64.1141,16.11,95,0,0.45,AR,1612406438
ada,43.4166,-116.1262,2,87,1,4.57,US,1612406366
morgantown,39.6295,-79.9559,-4.44,68,1,1.54,US,1612406168
nuuk,64.1835,-51.7216,-14,61,20,2.06,GL,1612406443
verkh-usugli,52.7,115.1667,-23.35,85,100,1.02,RU,1612406445
santa maria,-29.6842,-53.8069,21,94,90,7.2,BR,1612406446
ryotsu,38.0833,138.4333,4,93,75,13.89,JP,1612406448
mar del plata,-38.0023,-57.5575,19,82,40,5.66,AR,1612406351
kidal,18.4411,1.4078,18.49,22,0,5.23,ML,1612406184
broome,42.2506,-75.833,-2.22,58,90,7.72,US,1612406453
muchkapskiy,51.8513,42.4717,1.39,98,100,4.31,RU,1612406456
santa cruz de tenerife,28.4682,-16.2546,17.22,94,90,5.14,ES,1612406458
elko,41.0002,-115.5012,-0.56,80,1,6.17,US,1612406459
oyon,-10.6681,-76.7731,7.56,71,100,1.25,PE,1612406461
aklavik,68.2191,-135.0107,-38,66,1,2.29,CA,1612406462
vzmorye,54.6961,20.2361,-2,80,90,8,RU,1612406464
sao gabriel da cachoeira,-0.1303,-67.0892,23.71,97,100,0.69,BR,1612406466
havelock,34.8791,-76.9013,5,52,1,4.12,US,1612406467
mana,5.6592,-53.7767,25.31,85,98,6.44,GF,1612406469
xiaolan,22.6731,113.2295,23.33,69,0,0.89,CN,1612406470
batagay-alyta,67.8006,130.4114,-37.29,71,23,0.55,RU,1612406474
kosikha,53.3617,84.5822,-2,93,75,8,RU,1612406475
isla mujeres,21.2311,-86.731,22.22,77,1,3.09,MX,1612406390
bubaque,11.2833,-15.8333,25.35,66,53,5.81,GW,1612406478
vagur,61.4732,-6.8119,2.76,80,87,12.02,FO,1612406480
mingaora,34.7758,72.3625,7.25,51,42,2.57,PK,1612406482
agadez,19.75,10.25,13.31,38,0,4.93,NE,1612406483
quatre cocos,-20.2078,57.7625,25,88,40,1.03,MU,1612406485
antofagasta,-23.65,-70.4,18,82,0,1.03,CL,1612406264
saint-leu,-21.15,55.2833,25,57,0,1.11,RE,1612406492
sayyan,15.1718,44.3244,3.93,67,0,1.31,YE,1612406494
pundaguitan,6.3711,126.1689,27.53,77,23,7.29,PH,1612406496
sola,-13.8833,167.55,27.65,79,100,4.85,VU,1612406497
surgut,61.25,73.4167,-15,92,40,3,RU,1612406290
norden,53.6,7.2,0.56,91,100,2.24,DE,1612406501
tommot,58.9564,126.2925,-27.04,82,96,0.87,RU,1612406502
kargil,34.5667,76.1,-17.92,77,100,0.55,IN,1612406504
vila,42.0304,-8.1588,8.33,93,98,2.06,PT,1612406507
aksha,50.2814,113.2867,-12.1,86,36,1.61,RU,1612406509
cumberland,35.0502,-78.8664,7,23,1,4.12,US,1612406510
paamiut,61.994,-49.6678,-12.38,70,0,1.16,GL,1612406468
char bhadrasan,23.3167,90.2167,17,82,0,3.02,BD,1612406513
ahipara,-35.1667,173.1667,22.69,57,2,1.3,NZ,1612406515
kavaratti,10.5669,72.642,27.42,64,52,3.5,IN,1612406517
altay,47.8667,88.1167,-7.95,90,100,0.53,CN,1612406518
hameenlinna,60.996,24.4643,-17,85,0,3.09,FI,1612406520
oranjemund,-28.55,16.4333,16.14,94,26,3.09,NA,1612406477
nargana,9.4428,-78.5906,26.07,82,29,6.47,PA,1612406523
ifanadiana,-21.3,47.6333,21.28,94,50,0.66,MG,1612406525
ipixuna,-1.7625,-48.8043,25,94,40,4.63,BR,1612406528
kasulu,-4.5767,30.1025,20,100,20,0.69,TZ,1612406529
tucumcari,35.1717,-103.725,17,34,1,6.69,US,1612406293
algeciras,36.1333,-5.4505,15,77,100,5.14,ES,1612406533
djibo,14.1022,-1.6306,21.61,18,15,4.15,BF,1612406534
am timan,11.0297,20.2827,21.44,21,0,3.7,TD,1612406536
sinegorye,62.0788,150.477,-27.29,84,100,3.08,RU,1612406537
inhambane,-23.865,35.3833,25.19,90,8,2.25,MZ,1612406541
khandyga,62.6667,135.6,-42.73,75,21,0.47,RU,1612406542
preobrazheniye,42.9019,133.9064,-13.11,77,0,6.71,RU,1612406544
shaoyang,27.2315,111.4525,11.82,83,100,3.16,CN,1612406518
nhulunbuy,-12.2333,136.7667,27,89,90,6.69,AU,1612406547
olinda,-8.0089,-34.8553,26,69,40,2.57,BR,1612406508
harper,4.375,-7.7169,25.66,88,2,2.94,LR,1612406550
filadelfia,39.9523,-75.1638,1.11,60,75,6.17,US,1612406534
husavik,66.0449,-17.3389,-9,73,0,2.06,IS,1612406553
alihe,50.5667,123.7167,-22.6,76,0,1.54,CN,1612406555
petropavlovsk-kamchatskiy,53.0452,158.6483,-8,45,100,9,RU,1612406558
sokoto,13.0609,5.239,19.87,22,0,5.87,NG,1612406560
santa isabel do rio negro,-0.4139,-65.0192,24.36,91,100,1.01,BR,1612406561
nome,64.5011,-165.4064,-20,59,1,3.6,US,1612406372
cockburn town,21.4612,-71.1419,22.82,55,49,2.43,TC,1612406285
etchoropo,26.7667,-109.6667,20,63,84,3.39,MX,1612406566
puerto escondido,15.85,-97.0667,25.04,76,2,1.52,MX,1612406535
tessalit,20.1986,1.0114,18.62,23,0,6.7,ML,1612406505
sovetskiy,61.3614,63.5842,-16.38,92,57,2.04,RU,1612406571
ujhartyan,47.2198,19.3864,10.56,87,100,3.6,HU,1612406572
bolo,13.7899,120.9817,26.67,74,81,5.81,PH,1612406574
talnakh,69.4865,88.3972,-28.76,86,99,1.44,RU,1612406525
freehold,40.2601,-74.2738,0,69,90,6.17,US,1612406577
havoysund,70.9963,24.6622,-2,64,20,8.23,NO,1612406579
walvis bay,-22.9575,14.5053,18.89,86,68,3.25,NA,1612406580
groton,41.3501,-72.0784,1,69,90,4.12,US,1612406582
dodoma,-6.1722,35.7395,20,83,20,5.14,TZ,1612406584
that phanom,16.9364,104.7104,27.22,64,0,2.06,TH,1612406585
puro,12.4841,123.3827,27.21,78,83,7.86,PH,1612406587
torbeyevo,54.0797,43.2473,0.17,99,100,4.06,RU,1612406588
kingseat,56.0974,-3.4084,2.78,100,40,5.66,GB,1612406590
katobu,-4.9408,122.5276,27.28,83,100,2.79,ID,1612406592
chai badan,15.2,101.1333,30,37,0,6.99,TH,1612406593
kamenka,51.3223,42.7678,2.22,97,100,3.51,RU,1612406595
ajdabiya,30.7554,20.2263,13.54,89,0,2.97,LY,1612406596
byron bay,-28.65,153.6167,29,61,24,5.14,AU,1612406360
bathsheba,13.2167,-59.5167,26,69,40,11.83,BB,1612406601
santa cruz,-17.8,-63.1667,24,83,75,6.69,BO,1612406505
christchurch,-43.5333,172.6333,17.22,51,75,7.2,NZ,1612406418
