City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
kharp,66.8014,65.8081,-21.86,89,19,0.69,RU,1612405970
port macquarie,-31.4333,152.9167,29.44,52,0,1.79,AU,1612405971
taoudenni,22.6783,-3.9836,19.07,24,0,2.88,ML,1612405973
seoul,37.5683,126.9778,-3,33,0,1.54,KR,1612405809
cookeville,36.1628,-85.5016,1.11,80,1,1.29,US,1612405976
touros,-5.1989,-35.4608,26,78,20,3.09,BR,1612405978
ulladulla,-35.35,150.4667,28,57,20,7.2,AU,1612405979
mersing,2.4312,103.8405,27,78,40,6.17,MY,1612405981
atambua,-9.1061,124.8925,22.97,95,100,1.17,ID,1612405983
kijang,35.2442,129.2139,6,31,0,5.14,KR,1612405984
kirando,-7.4167,30.6,21.67,75,46,2.32,TZ,1612405986
chimbote,-9.0853,-78.5783,20.7,80,92,1.95,PE,1612405941
alexandria,31.2156,29.9553,17,88,20,4.63,EG,1612405989
port-gentil,-0.7193,8.7815,27.28,80,100,3.45,GA,1612405939
clones,54.1833,-7.2333,6.67,88,100,2.68,IE,1612405992
galle,6.0367,80.217,25.99,82,58,2.07,LK,1612405994
carcassonne,43.25,2.1667,12,94,90,3.6,FR,1612405995
chokurdakh,70.6333,147.9167,-18.23,91,89,6.26,RU,1612405997
cayenne,4.9333,-52.3333,27,83,75,6.17,GF,1612405968
tupelo,34.2576,-88.7034,3,70,1,1.85,US,1612406000
beringovskiy,63.05,179.3167,-17.08,92,100,8.12,RU,1612406002
iqaluit,63.7506,-68.5145,-20,77,90,1.03,CA,1612405939
smithers,54.7804,-127.1743,-5,86,90,1.54,CA,1612406005
saint george,37.1041,-113.5841,13,35,1,5.14,US,1612405848
barabash,43.2,131.4833,-16,47,0,4.8,RU,1612406008
karachi,24.9056,67.0822,12,87,0,2.06,PK,1612405943
port moresby,-9.4431,147.1797,32,66,20,6.17,PG,1612406011
pangai,-19.8,-174.35,30,79,75,2.57,TO,1612406015
kambove,-10.8764,26.5969,15.85,94,99,1.02,CD,1612406016
mao,39.8885,4.2658,11,100,75,1.54,ES,1612406018
balabac,7.9868,117.0645,28.16,76,67,8.13,PH,1612406019
coihaique,-45.5752,-72.0662,20,64,0,2.57,CL,1612406021
klaksvik,62.2266,-6.589,0,93,40,4.12,FO,1612405926
luanda,-8.8368,13.2343,26,83,20,3.09,AO,1612406024
fereydunshahr,32.941,50.121,-3.2,62,0,1.36,IR,1612406026
careiro da varzea,-3.2003,-59.8119,25,94,0,0.45,BR,1612406027
jalu,29.0331,21.5482,11.86,89,0,4.85,LY,1612406022
krasnoselkup,65.7,82.4667,-22.31,91,98,2.67,RU,1612406031
sinnamary,5.3833,-52.95,25.57,84,100,6.94,GF,1612406032
aripuana,-9.1667,-60.6333,23.71,97,67,0.46,BR,1612406034
vila franca do campo,37.7167,-25.4333,11,71,40,3.6,PT,1612406035
namibe,-15.1961,12.1522,21.07,78,45,3.64,AO,1612405905
svetlogorsk,52.6333,29.7333,0.68,98,100,3.37,BY,1612406039
lisa,43.8,25.1333,2,100,90,1.16,RO,1612406042
kavieng,-2.5744,150.7967,29.32,66,20,2.96,PG,1612406043
the valley,18.217,-63.0578,27,78,20,4.63,AI,1612406045
winslow,35.0242,-110.6974,13.33,51,99,3.58,US,1612405760
thunder bay,48.4001,-89.3168,-1,86,90,3.09,CA,1612405941
sorland,67.667,12.6934,1.94,79,90,12.1,NO,1612406050
berlevag,70.8578,29.0864,-1.6,94,100,9.42,NO,1612406051
phuthaditjhaba,-28.5242,28.8158,13.15,84,52,1.49,ZA,1612405931
weihai,37.5017,122.1136,2.04,71,0,5.09,CN,1612406055
dingle,10.9995,122.6711,26.92,81,82,6.84,PH,1612406056
praia da vitoria,38.7333,-27.0667,10,87,75,13.26,PT,1612406058
pedana,16.2667,81.1667,21,83,1,2.06,IN,1612406060
bin qirdan,33.1378,11.2197,15.44,44,2,3.88,TN,1612406061
alyangula,-13.8483,136.4192,31,74,75,3.09,AU,1612406063
ozu,33.5,132.55,9,71,75,8.23,JP,1612406064
mercedes,-34.6515,-59.4307,20.56,76,86,3.4,AR,1612406066
rocha,-34.4833,-54.3333,19,95,100,3.05,UY,1612406068
zyryanka,65.75,150.85,-28.52,86,100,8.4,RU,1612406069
marienburg,54.0359,19.0266,-2.22,91,100,1.79,PL,1612406071
goderich,43.7501,-81.7165,-10,85,0,1.54,CA,1612406072
tasiilaq,65.6145,-37.6368,-7.5,94,75,5.15,GL,1612405935
saint-francois,46.4154,3.9054,4.44,87,0,2.06,FR,1612406076
ilulissat,69.2167,-51.1,-21,41,5,4.63,GL,1612406077
zhuhai,22.2769,113.5678,23,64,0,2.57,CN,1612406079
beaverton,45.4871,-122.8037,6.67,81,90,0.49,US,1612405869
ergani,38.2653,39.7621,5,93,75,1.54,TR,1612406084
lavrentiya,65.5833,-171,-27.45,82,0,6.79,RU,1612406087
naze,28.3667,129.4833,18,52,40,3.6,JP,1612406088
iberia,29.9502,-91.7507,8.89,71,1,2.06,US,1612405855
avera,33.194,-82.5271,3,65,1,3.07,US,1612405953
severodvinsk,64.5635,39.8302,-14,85,40,5,RU,1612406093
pisco,-13.7,-76.2167,22,78,0,3.09,PE,1612406095
kilinochchi,9.3961,80.3982,25.31,72,14,5.62,LK,1612406096
nanortalik,60.1432,-45.2371,-9.56,83,68,5.85,GL,1612406098
devonport,-41.1667,146.35,21.11,75,83,2.68,AU,1612406099
severobaykalsk,55.65,109.3167,-17.52,91,100,1.52,RU,1612405929
hay river,60.8156,-115.7999,-25,77,100,2.57,CA,1612405925
sept-iles,50.2001,-66.3821,-2.78,86,100,4.12,CA,1612405916
kununurra,-15.7667,128.7333,26,100,75,2.57,AU,1612406085
upernavik,72.7868,-56.1549,-26.36,70,0,2.01,GL,1612406066
kulpahar,25.3167,79.65,17.26,31,11,2.07,IN,1612406109
jumla,29.2747,82.1838,4.97,48,0,1.32,NP,1612406111
ayolas,-27.4,-56.9,20.2,93,31,2.38,PY,1612406112
ariquemes,-9.9133,-63.0408,23.76,91,68,0.43,BR,1612406114
mareeba,-17,145.4333,30.56,70,92,2.57,AU,1612406115
leningradskiy,69.3833,178.4167,-32.29,85,14,3.32,RU,1612406117
correntina,-13.3433,-44.6367,21.68,84,89,0.23,BR,1612406119
sungairaya,0.7,108.9,27.66,78,92,4.1,ID,1612406081
kurilsk,45.2333,147.8833,-10.16,88,100,7.84,RU,1612405922
koumac,-20.5667,164.2833,27.53,76,31,6.28,NC,1612406123
puerto madero,14.7208,-92.4215,24,94,20,2.03,MX,1612406125
mata de sao joao,-12.5303,-38.2992,28,74,75,4.63,BR,1612406127
carroll,39.5501,-77.0164,2,60,1,5.14,US,1612406128
dongsheng,39.8161,109.9776,-3.32,66,0,6.87,CN,1612406130
tiksi,71.6872,128.8694,-31.65,86,99,1.34,RU,1612406131
three hills,51.7001,-113.2686,-19.44,77,41,1.54,CA,1612406133
dudhani,17.3667,76.3667,20.64,51,15,3.7,IN,1612406135
komsomolskiy,40.4272,71.7189,-2,80,0,1.03,UZ,1612406136
cabo san lucas,22.8909,-109.9124,20.56,77,20,1.54,MX,1612405931
ushtobe,45.2514,77.9838,-2.82,90,100,1.19,KZ,1612406139
guerrero negro,27.9769,-114.0611,16.86,77,98,7.85,MX,1612405946
grindavik,63.8424,-22.4338,2,75,0,12.35,IS,1612406143
yar-sale,66.8333,70.8333,-20.94,91,97,4.88,RU,1612405975
taltal,-25.4,-70.4833,18.61,72,61,0.55,CL,1612406146
gat,31.61,34.7642,15,12,47,0.89,IL,1612406149
bandarbeyla,9.4942,50.8122,21.14,76,3,5.97,SO,1612406152
thinadhoo,0.5333,72.9333,28.01,75,100,3.81,MV,1612406153
acarau,-2.8856,-40.12,26.1,82,91,6.34,BR,1612406155
tecozautla,20.5333,-99.6333,22,17,1,4.12,MX,1612406159
rabo de peixe,37.8,-25.5833,11,71,40,3.6,PT,1612406161
tautira,-17.7333,-149.15,28,74,20,1.03,PF,1612406162
la ronge,55.1001,-105.2842,-15,78,99,3.09,CA,1612406164
kudahuvadhoo,2.6708,72.8944,27.49,78,85,7.41,MV,1612406166
tokur,53.1333,132.9,-32.9,83,99,1.61,RU,1612406167
podosinovets,60.2776,47.0659,-8.51,96,100,4.28,RU,1612406169
padang,-0.9492,100.3543,29,70,40,1.03,ID,1612405921
chicama,-7.8447,-79.1469,21,83,96,3.6,PE,1612405925
tual,-5.6667,132.75,28.78,76,100,8.36,ID,1612405962
mitu,1.1983,-70.1733,22.71,96,85,0.79,CO,1612406175
ixtapa,20.7,-105.2,21.67,94,1,0.26,MX,1612406177
rovaniemi,66.5,25.7167,-11,85,90,5.14,FI,1612406178
vestmannaeyjar,63.4427,-20.2734,2.48,84,100,13.11,IS,1612406180
gunjur,13.2019,-16.7339,21,68,0,3.97,GM,1612406181
yerbogachen,61.2767,108.0108,-24.48,89,100,0.21,RU,1612406183
borogontsy,62.6683,131.1683,-40,77,1,1.31,RU,1612406185
torbay,47.6666,-52.7314,9.44,100,90,7.2,CA,1612406115
ewa beach,21.3156,-158.0072,24,69,75,5.14,US,1612406188
aden,12.7794,45.0367,23.07,78,0,5.54,YE,1612405943
sterling,39.0062,-77.4286,1.11,55,1,11.83,US,1612406193
nurota,40.5614,65.6886,4,93,42,3.09,UZ,1612406195
upata,8.0086,-62.3989,24.44,94,26,1.79,VE,1612406198
san quintin,30.4833,-115.95,15.8,79,46,5.17,MX,1612405943
crib point,-38.35,145.2,28.33,56,100,1.98,AU,1612406203
mogadishu,2.0371,45.3438,24.04,86,22,7.17,SO,1612406204
basco,20.4487,121.9702,22.04,75,3,11.66,PH,1612405939
yumen,40.2833,97.2,-1.24,66,16,12.64,CN,1612405975
kahului,20.8947,-156.47,20,77,40,12.35,US,1612405921
fort collins,40.5853,-105.0844,5.56,42,20,13.38,US,1612405995
pangody,65.85,74.4859,-17.66,93,100,2.77,RU,1612406214
abu zabad,12.35,29.25,22.68,21,29,6.06,SD,1612406215
belaya gora,68.5333,146.4167,-29.28,87,96,1.66,RU,1612406084
orotukan,62.2667,151.7,-27.21,85,100,3.5,RU,1612406219
rawson,-43.3002,-65.1023,21.5,53,9,5.99,AR,1612406220
arucas,28.1198,-15.5233,16,72,40,2.57,ES,1612406222
chunskiy,56.0815,99.6342,-9.06,95,90,5.05,RU,1612406224
deputatskiy,69.3,139.9,-31.11,89,98,0.3,RU,1612406227
manggar,-2.8833,108.2667,28.18,71,100,6.96,ID,1612406228
turukhansk,65.8167,87.9833,-21.3,92,100,1.12,RU,1612406061
moba,33.2288,105.0179,2.79,70,98,2.1,CN,1612406232
svetlyy,54.675,20.1347,-2,80,90,8,RU,1612406233
hami,42.8,93.45,-0.09,77,40,2.35,CN,1612406235
tahoua,14.8888,5.2692,19.25,24,0,7.21,NE,1612406098
nishihara,26.1842,127.7558,21,39,40,3.09,JP,1612406238
saint anthony,45.0205,-93.218,0,80,75,4.12,US,1612406085
boa vista,2.8197,-60.6733,28,69,40,2.57,BR,1612406014
casas adobes,32.3234,-110.9951,21.67,34,81,0.45,US,1612406243
changji,44.0167,87.3167,-10,85,88,1.21,CN,1612406244
ormara,25.2088,64.6357,18.51,31,0,9.79,PK,1612406246
matara,5.9485,80.5353,26.08,72,65,3.43,LK,1612406247
flin flon,54.7682,-101.865,-19.3,92,100,4.15,CA,1612406249
evensk,61.95,159.2333,-12.54,89,100,15.13,RU,1612406252
mangrol,21.1167,70.1167,19.33,74,0,4.91,IN,1612406254
marsh harbour,26.5412,-77.0636,16.95,57,0,6.99,BS,1612406255
joniskis,56.2403,23.6153,-5,86,90,3.6,LT,1612406257
akyab,20.15,92.9,20.33,43,0,2.51,MM,1612406259
ust-nera,64.5667,143.2,-25.52,81,100,2.24,RU,1612406260
